Ref,Eng,Heb6,Heb5,Heb4,Heb3,Heb2,Heb1,Highlight,Morph,Strongs
Gen.2.22-06,,,,,,־,אֲשֶׁר,,HTr,H0834a=אֲשֶׁר=which/H9014=־=link
Gen.2.22-07,,,,,,,לָקַח,,HVqp3ms,H3947=לָקַח=to take_§1_take
Gen.2.22-08,,,,,,־,מִן,,HR,H4480a=מִן־=from/H9014=־=link
Gen.2.22-09,,,,,,אָדָם,הָ,,HTd/Ncbsa,H9009=ה=the/H0120=אָדָם=man_§man|Adam@Gen.2.19
Gen.2.22-10,,,,,,אִשָּׁה,לְ,,HR/Ncfsa,H9005=ל=to/H0802=אִשָּׁה=woman_§1_woman
Gen.2.22-11,,,,,הָ,יְבִאֶ,וַ,,Hc/Vhw3ms/Sp3fs,H9001=ו=seq/H0935=בּוֹא=to come (in)_§2_bring|take_in/H9034=Os3f=her
Gen.2.22-12,,,,,,־,אֶל,,HR,H0413=אֶל=to(wards)/H9014=־=link
Gen.2.22-13,,,,,׃,אָדָם,הָ,,HTd/Ncbsa,H9009=ה=the/H0120=אָדָם=man_§man|Adam@Gen.2.19/H9016=׃=verseEnd
Gen.2.23-01,,,,,,יֹּאמֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H0559=אָמַר=to say
Gen.2.23-02,,,,,,אָדָם֒,הָ,,HTd/Ncbsa,H9009=ה=the/H0120=אָדָם=man_§man|Adam@Gen.2.19
Gen.2.23-03,,,,,,,זֹאת,,HTm,H2063=זֹאת=this
Gen.2.23-04,,,,,,פַּ֗עַם,הָ,,HTd/Ncbsa,H9009=ה=the/H6471=פַּ֫עַם=beat
Gen.2.23-05,,,,,,,עֶ֚צֶם,,HNcbsa,H6106=עֶ֫צֶם=bone_§1_bone|limb
Gen.2.23-06,,,,,י,עֲצָמַ,מֵ,,HR/Ncmpc/Sp1bs,H9006=מ=from/H6106=עֶ֫צֶם=bone_§1_bone|limb/H9020=Ps1c=my
Gen.2.23-07,,,,,,בָשָׂר,וּ,,HC/Ncbsa,H9002=ו=and/H1320=בָּשָׂר=flesh
Gen.2.23-08,,,,,י,בְּשָׂר,מִ,,HR/Ncbsc/Sp1bs,H9006=מ=from/H1320=בָּשָׂר=flesh/H9020=Ps1c=my
Gen.2.23-09,,,,,,זֹאת,לְ,,HR/Tm,H9005=ל=to/H2063=זֹאת=this
